,source,target,value
0,Bronn,Cersei Lannister,3
1,Bronn,Meryn Trant,2
2,Gregor Clegane,Meryn Trant,2
3,Arya Stark,Gregor Clegane,2
4,Arya Stark,Yoren,2
5,Rorge,Yoren,2
6,Jon Snow,Rorge,2
7,Craster,Jon Snow,6
8,Craster,Mance Rayder,18
9,Alliser Thorne,Mance Rayder,2
10,Alliser Thorne,Stannis Baratheon,2
11,Shireen Baratheon,Stannis Baratheon,3
12,Jorah Mormont,Shireen Baratheon,2
13,Daario Naharis,Jorah Mormont,2
14,Daario Naharis,Eddard Stark,2
15,Eddard Stark,Hizdahr zo Loraq,2
16,Daario Naharis,Hizdahr zo Loraq,2
17,Daario Naharis,Sansa Stark,2
18,Catelyn Stark,Sansa Stark,7
19,Arya Stark,Sansa Stark,9
20,Arya Stark,Sandor Clegane,21
21,Catelyn Stark,Sandor Clegane,2
22,Arya Stark,Catelyn Stark,5
23,Arya Stark,Tyrion Lannister,5
24,Lysa Arryn,Tyrion Lannister,5
25,Lysa Arryn,Sansa Stark,8
26,Cersei Lannister,Sansa Stark,6
27,Cersei Lannister,Tywin Lannister,20
28,Cersei Lannister,Gregor Clegane,8
29,Gregor Clegane,Robin Arryn,2
30,Lysa Arryn,Robin Arryn,11
31,Joffrey Baratheon,Lysa Arryn,9
32,Joffrey Baratheon,Petyr Baelish,2
33,Lysa Arryn,Petyr Baelish,12
34,Petyr Baelish,Robin Arryn,10
35,Stannis Baratheon,Tommen Baratheon,2
36,Davos Seaworth,Tommen Baratheon,2
37,Davos Seaworth,Stannis Baratheon,12
38,Davos Seaworth,Tywin Lannister,2
39,Jaime Lannister,Tywin Lannister,7
40,Cersei Lannister,Jaime Lannister,20
41,Stannis Baratheon,Tywin Lannister,2
42,Davos Seaworth,Theon Greyjoy,2
43,Ramsay Bolton,Theon Greyjoy,3
44,Ramsay Bolton,Roose Bolton,6
45,Roose Bolton,Yara Greyjoy,2
46,Theon Greyjoy,Yara Greyjoy,6
47,Khal Drogo,Theon Greyjoy,2
48,Daenerys Targaryen,Khal Drogo,6
49,Daenerys Targaryen,Hizdahr zo Loraq,6
50,Hizdahr zo Loraq,Tywin Lannister,2
51,Sandor Clegane,Tywin Lannister,2
52,Daenerys Targaryen,Sandor Clegane,2
53,Daenerys Targaryen,Jorah Mormont,4
54,Barristan Selmy,Jorah Mormont,17
55,Barristan Selmy,Joffrey Baratheon,2
56,Joffrey Baratheon,Varys,2
57,Oberyn Martell,Varys,4
58,Ellaria Sand,Varys,2
59,Ellaria Sand,Tywin Lannister,11
60,Tommen Baratheon,Tywin Lannister,9
61,Oberyn Martell,Tommen Baratheon,3
62,Mace Tyrell,Oberyn Martell,5
63,Joffrey Baratheon,Mace Tyrell,4
64,Joffrey Baratheon,Tyrion Lannister,26
65,Sansa Stark,Tyrion Lannister,19
66,Joffrey Baratheon,Sansa Stark,25
67,Meryn Trant,Sansa Stark,2
68,Meryn Trant,Oberyn Martell,4
69,Oberyn Martell,Tyrion Lannister,15
70,Dontos Hollard,Sansa Stark,25
71,Dontos Hollard,Joffrey Baratheon,13
72,Robb Stark,Tyrion Lannister,2
73,Robb Stark,Sansa Stark,3
74,Sansa Stark,Varys,4
75,Tywin Lannister,Varys,6
76,Cersei Lannister,Tyrion Lannister,6
77,Lancel Lannister,Tyrion Lannister,4
78,Eddard Stark,Tyrion Lannister,4
79,Eddard Stark,Joffrey Baratheon,2
80,Joffrey Baratheon,Shae,4
81,Shae,Tyrion Lannister,16
82,Sansa Stark,Shae,7
83,Joffrey Baratheon,Stannis Baratheon,7
84,Stannis Baratheon,Tyrion Lannister,2
85,Cersei Lannister,Joffrey Baratheon,17
86,Cersei Lannister,Meryn Trant,2
87,Joffrey Baratheon,Meryn Trant,4
88,Jon Snow,Samwell Tarly,3
89,Gilly,Samwell Tarly,6
90,Alliser Thorne,Gilly,4
91,Alliser Thorne,Ygritte,2
92,Tormund Giantsbane,Ygritte,17
93,Styr,Tormund Giantsbane,6
94,Styr,Thenn Warg,3
