,source,target,value
0,Arya Stark,Syrio Forel,117
1,Septa Mordane,Syrio Forel,2
2,Sansa Stark,Septa Mordane,83
3,Arya Stark,Septa Mordane,25
4,Arya Stark,Meryn Trant,9
5,Eddard Stark,Meryn Trant,2
6,Eddard Stark,Syrio Forel,14
7,Meryn Trant,Syrio Forel,11
8,Arya Stark,Sansa Stark,88
9,Sandor Clegane,Sansa Stark,31
10,Arya Stark,Sandor Clegane,7
11,Arya Stark,Eddard Stark,134
12,Eddard Stark,Varys,132
13,Eddard Stark,Sansa Stark,62
14,Joffrey Baratheon,Sansa Stark,126
15,Joffrey Baratheon,Varys,21
16,Cersei Lannister,Varys,6
17,Cersei Lannister,Eddard Stark,107
18,Eddard Stark,Joffrey Baratheon,29
19,Robert Baratheon,Varys,7
20,Eddard Stark,Robert Baratheon,295
21,Jeor Mormont,Varys,2
22,Jeor Mormont,Othell Yarwyck,6
23,Benjen Stark,Jeor Mormont,6
24,Benjen Stark,Jon Snow,35
25,Jeor Mormont,Jon Snow,96
26,Jeor Mormont,Samwell Tarly,16
27,Othell Yarwyck,Samwell Tarly,6
28,Jon Snow,Samwell Tarly,158
29,Jon Snow,Othell Yarwyck,8
30,Jeor Mormont,Maester Aemon,11
31,Maester Aemon,Othell Yarwyck,2
32,Alliser Thorne,Othell Yarwyck,2
33,Alliser Thorne,Maester Aemon,3
34,Jon Snow,Maester Aemon,54
35,Jeor Mormont,Robert Baratheon,2
36,Joffrey Baratheon,Robert Baratheon,30
37,Joffrey Baratheon,Jon Snow,8
38,Cersei Lannister,Jon Snow,7
39,Cersei Lannister,Sansa Stark,39
40,Petyr Baelish,Sansa Stark,14
41,Petyr Baelish,Varys,121
42,Grand Maester Pycelle,Varys,14
43,Grand Maester Pycelle,Joffrey Baratheon,7
44,Grand Maester Pycelle,Sansa Stark,21
45,Cersei Lannister,Joffrey Baratheon,71
46,Catelyn Stark,Petyr Baelish,46
47,Catelyn Stark,Cersei Lannister,20
48,Cersei Lannister,Robb Stark,6
49,Robb Stark,Sansa Stark,17
50,Maester Luwin,Sansa Stark,2
51,Maester Luwin,Robb Stark,21
52,Joffrey Baratheon,Robb Stark,9
53,Joffrey Baratheon,Maester Luwin,2
54,Maester Luwin,Theon Greyjoy,22
55,Robb Stark,Theon Greyjoy,93
