,source,target,value
0,Daario Naharis,Joffrey Baratheon,2
1,Barristan Selmy,Daario Naharis,2
2,Barristan Selmy,Missandei,4
3,Barristan Selmy,Robert Baratheon,5
4,Melisandre,Robert Baratheon,4
5,Renly Baratheon,Robert Baratheon,4
6,Melisandre,Renly Baratheon,2
7,Daario Naharis,Melisandre,2
8,Daario Naharis,Sansa Stark,2
9,Podrick Payne,Sansa Stark,2
10,Davos Seaworth,Podrick Payne,2
11,Davos Seaworth,Robb Stark,6
12,Joffrey Baratheon,Robb Stark,8
13,Cersei Lannister,Joffrey Baratheon,13
14,Joffrey Baratheon,Loras Tyrell,14
15,Loras Tyrell,Renly Baratheon,9
16,Meryn Trant,Renly Baratheon,2
17,Meryn Trant,Tyrion Lannister,2
18,Sansa Stark,Tyrion Lannister,18
19,Khal Drogo,Tyrion Lannister,2
20,Daario Naharis,Khal Drogo,2
21,Daario Naharis,Irri,2
22,Irri,Kevan Lannister,2
23,Craster,Kevan Lannister,2
24,Craster,Samwell Tarly,2
25,Randyll Tarly,Samwell Tarly,2
26,Petyr Baelish,Tyrion Lannister,1
27,Petyr Baelish,Stannis Baratheon,2
28,Stannis Baratheon,Varys,2
29,Craster,Varys,2
30,Craster,Gilly,4
31,Bran Stark,Gilly,2
32,Bran Stark,Tyrion Lannister,2
33,Podrick Payne,Tyrion Lannister,3
34,Petyr Baelish,Podrick Payne,4
35,Petyr Baelish,Sansa Stark,19
36,Margaery Tyrell,Petyr Baelish,2
37,Margaery Tyrell,Robert Baratheon,2
38,High Septon,Robert Baratheon,2
39,High Septon,Joffrey Baratheon,4
40,Joffrey Baratheon,Margaery Tyrell,19
41,Joffrey Baratheon,Yara Greyjoy,2
42,Robb Stark,Yara Greyjoy,2
43,Dagmer Cleftjaw,Robb Stark,2
44,Dagmer Cleftjaw,Yara Greyjoy,2
45,Jaime Lannister,Yara Greyjoy,2
46,Catelyn Stark,Jaime Lannister,7
47,Catelyn Stark,Tyrion Lannister,3
48,Jaime Lannister,Tyrion Lannister,5
49,Stannis Baratheon,Tyrion Lannister,4
50,Joffrey Baratheon,Stannis Baratheon,4
51,Margaery Tyrell,Ros,2
52,Ros,Varys,2
53,Sansa Stark,Varys,4
54,Eddard Stark,Sansa Stark,2
55,Eddard Stark,Petyr Baelish,2
56,Petyr Baelish,Robb Stark,3
57,Robb Stark,Sansa Stark,8
58,Petyr Baelish,Varys,2
59,Joffrey Baratheon,Varys,2
60,Craster,Loras Tyrell,2
61,Beric Dondarrion,Craster,2
62,Beric Dondarrion,Joffrey Baratheon,2
63,Eddard Stark,Joffrey Baratheon,3
64,Eddard Stark,Robert Baratheon,8
65,Joffrey Baratheon,Robert Baratheon,2
66,Daenerys Targaryen,Joffrey Baratheon,2
67,Arya Stark,Orell,1
68,Mance Rayder,Orell,2
69,Mance Rayder,Ygritte,4
70,Orell,Ygritte,4
71,Jon Snow,Ygritte,6
72,Jon Snow,Thenn Warg,4
73,Thenn Warg,Tormund Giantsbane,2
74,Jon Snow,Tormund Giantsbane,10
75,Jon Snow,Sandor Clegane,2
76,Locke,Sandor Clegane,2
77,Jaime Lannister,Locke,8
78,Locke,Stannis Baratheon,2
79,Jaime Lannister,Stannis Baratheon,2
80,Jaime Lannister,Qyburn,7
81,Qyburn,Tywin Lannister,4
82,Arya Stark,Tywin Lannister,2
83,Arya Stark,Olenna Tyrell,2
84,Beric Dondarrion,Olenna Tyrell,2
85,Beric Dondarrion,Robb Stark,2
86,Robb Stark,Tywin Lannister,6
87,Beric Dondarrion,Tywin Lannister,4
88,Joffrey Baratheon,Tywin Lannister,12
89,Joffrey Baratheon,Rickard Karstark,2
90,Rickard Karstark,Sandor Clegane,2
91,Cersei Lannister,Sandor Clegane,3
92,Ilyn Payne,Joffrey Baratheon,6
93,Ilyn Payne,Meryn Trant,3
94,Beric Dondarrion,Meryn Trant,2
95,Beric Dondarrion,Thoros of Myr,2
96,Eddard Stark,Thoros of Myr,4
97,Eddard Stark,Melisandre,2
98,Melisandre,Selyse Florent,4
99,Melisandre,Stannis Baratheon,5
100,Melisandre,Petyr Baelish,5
101,Melisandre,Shireen Baratheon,2
102,Davos Seaworth,Shireen Baratheon,2
103,Davos Seaworth,Renly Baratheon,2
104,Robert Baratheon,Varys,3
105,Grand Maester Pycelle,Varys,3
106,Grand Maester Pycelle,Renly Baratheon,3
107,Eddard Stark,Renly Baratheon,4
108,Eddard Stark,Jaime Lannister,2
