,source,target,value
0,Grey Worm,Missandei,24
1,Daenerys Targaryen,Grey Worm,5
2,Daario Naharis,Daenerys Targaryen,50
3,Barristan Selmy,Daario Naharis,5
4,Barristan Selmy,Hizdahr zo Loraq,13
5,Barristan Selmy,Daenerys Targaryen,13
6,Daario Naharis,Hizdahr zo Loraq,18
7,Daenerys Targaryen,Hizdahr zo Loraq,30
8,Daenerys Targaryen,Maester Aemon,2
9,Jon Snow,Maester Aemon,28
10,Jon Snow,Tormund Giantsbane,67
11,Mance Rayder,Tormund Giantsbane,16
12,Jon Snow,Mance Rayder,12
13,Stannis Baratheon,Tormund Giantsbane,2
14,Jon Snow,Stannis Baratheon,50
15,Davos Seaworth,Jon Snow,28
16,Davos Seaworth,Stannis Baratheon,30
17,Olly,Stannis Baratheon,10
18,Grenn,Olly,2
19,Grenn,Jon Snow,2
20,Jon Snow,Olly,57
21,Brienne of Tarth,Olly,2
22,Brienne of Tarth,Podrick Payne,51
23,Podrick Payne,Sansa Stark,8
24,Eddard Stark,Sansa Stark,4
25,Catelyn Stark,Sansa Stark,7
26,Catelyn Stark,Myranda,2
27,Myranda,Ramsay Bolton,18
28,Ramsay Bolton,Sansa Stark,60
29,Myranda,Sansa Stark,28
30,Sansa Stark,Theon Greyjoy,79
31,Myranda,Theon Greyjoy,12
32,Ramsay Bolton,Theon Greyjoy,71
33,Ramsay Bolton,Roose Bolton,18
34,Roose Bolton,Walda Bolton,6
35,Sansa Stark,Walda Bolton,4
36,Theon Greyjoy,Walda Bolton,2
37,Maester Wolkan,Walda Bolton,2
38,Maester Wolkan,Sansa Stark,2
39,Maester Wolkan,Roose Bolton,2
40,Maester Wolkan,Ramsay Bolton,2
41,Ramsay Bolton,Stannis Baratheon,15
42,Gilly,Stannis Baratheon,12
43,Gilly,Maester Aemon,4
44,Maester Aemon,Stannis Baratheon,2
45,Gilly,Samwell Tarly,2
46,Robert Baratheon,Samwell Tarly,2
47,Randyll Tarly,Robert Baratheon,3
48,Melisandre,Randyll Tarly,2
49,Melisandre,Samwell Tarly,2
50,Samwell Tarly,Stannis Baratheon,2
