,source,target,value
0,Davos Seaworth,Gendry,3
1,Davos Seaworth,Mance Rayder,4
2,Bran Stark,Davos Seaworth,2
3,Bran Stark,Robert Baratheon,2
4,Robb Stark,Robert Baratheon,6
5,Robb Stark,Septa Mordane,3
6,Robert Baratheon,Septa Mordane,2
7,Robert Baratheon,Sansa Stark,3
8,Joffrey Baratheon,Sansa Stark,6
9,Cersei Lannister,Joffrey Baratheon,13
10,Joffrey Baratheon,Robb Stark,9
11,Joffrey Baratheon,Jon Snow,2
12,Arya Stark,Jon Snow,15
13,Cersei Lannister,Jon Snow,15
14,Cersei Lannister,Sansa Stark,7
15,Lyanna Mormont,Sansa Stark,3
16,Brienne of Tarth,Lyanna Mormont,2
17,Brienne of Tarth,Gregor Clegane,2
18,Gregor Clegane,Thoros of Myr,3
19,Jorah Mormont,Thoros of Myr,4
20,Jon Snow,Jorah Mormont,11
21,Jon Snow,Khal Drogo,8
22,Jorah Mormont,Khal Drogo,2
23,Arya Stark,Joffrey Baratheon,6
24,Arya Stark,Catelyn Stark,2
25,Brienne of Tarth,Catelyn Stark,3
26,Brienne of Tarth,Daenerys Targaryen,2
27,Daenerys Targaryen,Thoros of Myr,4
28,Beric Dondarrion,Daenerys Targaryen,2
29,Beric Dondarrion,Cersei Lannister,2
30,Cersei Lannister,Jaime Lannister,6
31,Jaime Lannister,Petyr Baelish,2
32,Petyr Baelish,Podrick Payne,2
33,Brienne of Tarth,Podrick Payne,4
34,Brienne of Tarth,Khal Drogo,2
35,Benjen Stark,Khal Drogo,4
36,Khal Drogo,Petyr Baelish,2
37,Arya Stark,Petyr Baelish,3
38,Arya Stark,Night King,2
39,Gregor Clegane,Qhono,1
40,Cersei Lannister,Qhono,2
41,Arya Stark,Cersei Lannister,12
42,Arya Stark,Bronn,2
43,Bronn,Podrick Payne,3
44,Cersei Lannister,Podrick Payne,2
45,Bronn,Cersei Lannister,11
46,Cersei Lannister,Khal Drogo,4
47,Khal Drogo,Theon Greyjoy,2
48,Theon Greyjoy,Tyrion Lannister,2
49,Jaime Lannister,Tyrion Lannister,4
50,Davos Seaworth,Jaime Lannister,2
51,Davos Seaworth,Eddard Stark,2
52,Daenerys Targaryen,Eddard Stark,4
53,Daenerys Targaryen,Jaime Lannister,2
54,Jaime Lannister,Sansa Stark,4
55,Cersei Lannister,Tyrion Lannister,19
56,Cersei Lannister,Daenerys Targaryen,19
57,Daenerys Targaryen,Joffrey Baratheon,2
58,Joffrey Baratheon,Tommen Baratheon,6
59,Myrcella Baratheon,Tommen Baratheon,3
60,Cersei Lannister,Myrcella Baratheon,2
61,Euron Greyjoy,Jon Snow,2
62,Cersei Lannister,Euron Greyjoy,6
63,Jon Snow,Tyrion Lannister,12
64,Daenerys Targaryen,Jon Snow,26
65,Daenerys Targaryen,Ramsay Bolton,2
66,Ramsay Bolton,Yara Greyjoy,3
67,Euron Greyjoy,Yara Greyjoy,4
68,Theon Greyjoy,Yara Greyjoy,4
69,Sansa Stark,Yara Greyjoy,2
70,Lysa Arryn,Sansa Stark,6
71,Jon Snow,Lysa Arryn,9
72,Cersei Lannister,Lysa Arryn,2
73,Eddard Stark,Joffrey Baratheon,4
74,Eddard Stark,Tyrion Lannister,6
75,Sansa Stark,Tyrion Lannister,4
76,Sansa Stark,Yohn Royce,4
77,Euron Greyjoy,Jaime Lannister,7
78,Euron Greyjoy,Tyrion Lannister,2
79,Samwell Tarly,Tyrion Lannister,4
80,Samwell Tarly,Three-Eyed Raven,2
81,Jon Snow,Three-Eyed Raven,2
82,Jon Snow,Lyanna Mormont,2
83,High Septon,Lyanna Mormont,7
84,High Septon,Robert Baratheon,2
85,Jon Snow,Robert Baratheon,2
86,Eddard Stark,Jon Snow,16
87,Eddard Stark,Tormund Giantsbane,2
88,Beric Dondarrion,Tormund Giantsbane,3
89,Beric Dondarrion,Night King,2
90,Davos Seaworth,Tyrion Lannister,5
91,Davos Seaworth,Missandei,4
92,Missandei,Sansa Stark,2
93,Daenerys Targaryen,Sansa Stark,6
94,Daenerys Targaryen,Khal Drogo,2
95,Khal Drogo,Tyrion Lannister,2
96,Davos Seaworth,Jon Snow,6
97,Robert Baratheon,Tyrion Lannister,2
98,Daenerys Targaryen,Robert Baratheon,7
99,Daenerys Targaryen,Night King,6
100,Night King,Tyrion Lannister,6
101,Daenerys Targaryen,Tyrion Lannister,16
102,Daenerys Targaryen,Ellaria Sand,2
103,Ellaria Sand,Theon Greyjoy,2
104,Euron Greyjoy,Theon Greyjoy,6
105,Jaime Lannister,Theon Greyjoy,2
